"Event","Frequency"
"[name] out at [base] [position] to [position] to [position], caught stealing","4"
"[name] advanced to [base] on the error, scored on the error, unearned","1"
"[name] singled down the [fieldLocation] (count)","3"
"[name] advanced to [base] on the error","3"
"[name] homered, 2 RBI (count)","1"
"[name] singled to catcher, bunt (count)","2"
"[name] lined out to [position]","2"
"[name] advanced to [base] on a throwing error by [position], failed pickoff attempt","2"
"[name] reached on a fielding error by [position] (count)","32"
"[name] homered to [fieldLocation], 4 RBI","1"
"[name] grounded out to [position], RBI","1"
"[name] doubled, ground-rule (count)","1"
"[name] walked, RBI (count)","9"
"[name] advanced to [base], scored on a fielding error by [position]","2"
"[name] doubled down the [fieldLocation], RBI (count)","7"
"[name] out at [base] [position] to [position], SAC (count)","1"
"[name] tripled down the [fieldLocation] (count)","1"
"[name] pinch ran for [name]","43"
"[name] flied out to [position] to [fieldLocation] (count)","20"
"[name] struck out swinging","34"
"[name] singled to pitcher, RBI (count)","1"
"[name] doubled to [fieldLocation]","3"
"[name] tripled (count)","1"
"[name] lined into double play [position] to [position]","1"
"[name] grounded out to [position], SAC, bunt (count)","46"
"[name] advanced to [base] on a wild pitch, advanced to [base] on the error","1"
"[name] scored on a throwing error by [position], unearned","3"
"[name] singled to [fieldLocation], bunt, advanced to [base] on a throwing error by [position] (count)","1"
"[name] homered inside the park, RBI (count)","1"
"[name] advanced to [base] on a fielding error by [position], failed pickoff attempt","1"
"[name] reached on a fielder's choice, RBI (count)","2"
"[name] reached on an error by [position], SAC","1"
"[name] doubled down the [position] line, 2 RBI (count)","1"
"[name] struck out (count)","1"
"[name] stole [base], advanced to [base] on a throwing error by [position]","8"
"[name] grounded out to [position] (count)","493"
"[name] homered to [fieldLocation], 2 RBI (count)","12"
"[name] tripled to [fieldLocation], 3 RBI (count)","1"
"[name] singled through the left side (count)","57"
"[name] advanced to [base], scored on an error by [position], unearned","1"
"[name] flied out to [position], SAC, RBI","1"
"[name] singled to pitcher, bunt, advanced to [base] on a throwing error by [position] (count)","2"
