"Game ID","Team","Player ID","Player","Lineup Position","Games","G","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","RBI2out","P","C","1B","2B","3B","SS","LF","CF","RF","DH","PH","PR"
"0","Col. of Charleston","1764745","Mundy, Joey","3:1, 10:1","2","0.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","2","0","0","0","0","0"
"0","Col. of Charleston","1646986","Dixon, Bradley","6:1, 7:2","3","0.0","1.0","10.0","2.0","0.0","0.0","2.0","0.0","0.0","1.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","3","0","0","0"
"0","Col. of Charleston","1646990","McRae, Logan","3:2, 4:1","3","0.0","0.0","11.0","1.0","1.0","0.0","2.0","0.0","1.0","0.0","0.0","1.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","2","0","0","1","0","0"
"0","Col. of Charleston","1764739","Ocker, Nathan","12:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Col. of Charleston","1764737","Hunt, Clay","11:2","2","0.0","1.0","5.0","2.0","0.0","0.0","5.0","1.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","2","0","0","0","0","0","0","0","0","0"
"0","Col. of Charleston","1879335","Frishmuth, Jakob","12:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Col. of Charleston","1879330","Morgan, Luke","2:3","3","0.0","2.0","12.0","3.0","0.0","0.0","3.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","3","0","0","0","0"
"0","Tennessee","1977496","Springer, Sam","20:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Tennessee","1977492","Hunley, Sean","18:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Tennessee","1977491","Daniels, Zach","12:1, 13:1","2","0.0","2.0","7.0","2.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","1","1","0","1","0","0"
