"Year","Year ID","Division","Team Conference","Team Name","Team ID","Team URL","Game Date","Opponent Conference","Opponent Name","Opponent ID","Opponent URL","Neutral Site","Location","Home Game","Team Won","Score","Team Score","Opponent Score","Extra Innings","Innings","Game ID","Game URL"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/07/2018","SEC","Tennessee","694","http://stats.ncaa.org/team/694/12973","false","Tennessee","Tennessee","James Madison","21-2","21","2","false","","4518383","http://stats.ncaa.org/game/index/4518383?org_id=694"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/09/2018","Atlantic 10","St. Bonaventure","596","http://stats.ncaa.org/team/596/12973","false","James Madison","James Madison","James Madison","14-3","14","3","false","","4519840","http://stats.ncaa.org/game/index/4519840?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/10/2018","Atlantic 10","St. Bonaventure","596","http://stats.ncaa.org/team/596/12973","false","James Madison","James Madison","James Madison","9-5","9","5","false","","4521284","http://stats.ncaa.org/game/index/4521284?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/11/2018","Atlantic 10","St. Bonaventure","596","http://stats.ncaa.org/team/596/12973","false","James Madison","James Madison","St. Bonaventure","0-1","0","1","false","","4523832","http://stats.ncaa.org/game/index/4523832?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/14/2018","ACC","Virginia","746","http://stats.ncaa.org/team/746/12973","false","Virginia","Virginia","Virginia","2-3","2","3","false","","4526134","http://stats.ncaa.org/game/index/4526134?org_id=746"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/16/2018","America East","UMass Lowell","368","http://stats.ncaa.org/team/368/12973","false","James Madison","James Madison","James Madison","5-4","5","4","false","","4528247","http://stats.ncaa.org/game/index/4528247?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/17/2018","America East","UMass Lowell","368","http://stats.ncaa.org/team/368/12973","false","James Madison","James Madison","James Madison","6-5","6","5","false","","4530130","http://stats.ncaa.org/game/index/4530130?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/18/2018","America East","UMass Lowell","368","http://stats.ncaa.org/team/368/12973","false","James Madison","James Madison","UMass Lowell","6-7","6","7","false","","4531137","http://stats.ncaa.org/game/index/4531137?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/23/2018","CAA","Elon","1068","http://stats.ncaa.org/team/1068/12973","false","James Madison","James Madison","James Madison","4-3","4","3","true","10","4534817","http://stats.ncaa.org/game/index/4534817?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/24/2018","CAA","Elon","1068","http://stats.ncaa.org/team/1068/12973","false","James Madison","James Madison","Elon","2-8","2","8","false","","4536504","http://stats.ncaa.org/game/index/4536504?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/25/2018","CAA","Elon","1068","http://stats.ncaa.org/team/1068/12973","false","James Madison","James Madison","Elon","4-6","4","6","false","","4537310","http://stats.ncaa.org/game/index/4537310?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/30/2018","CAA","Northeastern","500","http://stats.ncaa.org/team/500/12973","false","James Madison","James Madison","Northeastern","2-10","2","10","false","","4541970","http://stats.ncaa.org/game/index/4541970?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/31/2018","CAA","Northeastern","500","http://stats.ncaa.org/team/500/12973","false","James Madison","James Madison","James Madison","6-3","6","3","false","","4547807","http://stats.ncaa.org/game/index/4547807?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","04/01/2018","CAA","Northeastern","500","http://stats.ncaa.org/team/500/12973","false","James Madison","James Madison","Northeastern","1-8","1","8","false","","4544318","http://stats.ncaa.org/game/index/4544318?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","04/04/2018","SoCon","VMI","741","http://stats.ncaa.org/team/741/12973","false","James Madison","James Madison","James Madison","4-3","4","3","false","","4546746","http://stats.ncaa.org/game/index/4546746?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","04/06/2018","CAA","Col. of Charleston","1014","http://stats.ncaa.org/team/1014/12973","false","Col. of Charleston","Col. of Charleston","Col. of Charleston","4-6","4","6","false","","4548325","http://stats.ncaa.org/game/index/4548325?org_id=1014"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","04/08/2018","CAA","Col. of Charleston","1014","http://stats.ncaa.org/team/1014/12973","false","Col. of Charleston","Col. of Charleston","Col. of Charleston","2-3","2","3","false","","4551187","http://stats.ncaa.org/game/index/4551187?org_id=1014"
