"Game ID","Team","Player ID","Player","Lineup Position","Games","G","PO","TC","A","E","CI","PB","SBA","CSB","IDP","TP","P","C","1B","2B","3B","SS","LF","CF","RF","DH","PH","PR"
"0","Tennessee","1649080","Jackson, Richard","18:1","1","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Tennessee","1867967","Walsh, Redmond","17:1","1","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Tennessee","1867960","Lipcius, Luc","1:1","1","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"0","Tennessee","1867961","Schultz, Andrew","21:1","1","1.0","1.0","3.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Tennessee","1867963","Sosnowski, Alex","4:2","2","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","2","0","0","0","0","2","0"
"0","Tennessee","1867956","Gobbell, Cal","2:1, 11:1","2","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","1","0","1","0"
"0","Tennessee","1757619","Mascia, Nico","6:2","2","2.0","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","2","0","0","0","0","0","0","0","0","1","0"
"0","Tennessee","1867957","Heflin, Will","15:1","1","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","1","0"
"0","Tennessee","1867959","Lipcius, Andre","5:2","2","2.0","2.0","8.0","5.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","2","0","0","0","0","0","0"
"0","Tennessee","1649077","Santiago, Benito","7:2","2","2.0","10.0","10.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0","2","0","0","0","0","0","0","0","0","0","0"
"0","Tennessee","1867952","Charleston, Jay","9:2","2","2.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","1","0","0","2","0","0","0","0","0"
"0","Tennessee","1867953","Chinea, Brandon","16:1, 13:1","2","2.0","1.0","5.0","4.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","2","1","0","0","0","0","0","0","0"
"0","Tennessee","1867954","Darling, Connor","15:1","1","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Tennessee","1867955","Derkay, Pete","1:1, 2:1","2","2.0","16.0","17.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","2","0","0","0","0","0","0","0","0","0"
"0","Tennessee","1977457","Benoit, Donovan","17:1","1","1.0","1.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
