"Year","Year ID","Division","Team Conference","Team Name","Team ID","Team URL","Game Date","Opponent Conference","Opponent Name","Opponent ID","Opponent URL","Neutral Site","Location","Home Game","Team Won","Score","Team Score","Opponent Score","Extra Innings","Innings","Game ID","Game URL"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/20/2018","Big East","Seton Hall","635","http://stats.ncaa.org/team/635/12973","false","Butler","Butler","Seton Hall","1-6","1","6","false","","4564255","http://stats.ncaa.org/game/index/4564255?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/21/2018","Big East","Seton Hall","635","http://stats.ncaa.org/team/635/12973","false","Butler","Butler","Seton Hall","0-3","0","3","false","","4564271","http://stats.ncaa.org/game/index/4564271?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/22/2018","Big East","Seton Hall","635","http://stats.ncaa.org/team/635/12973","false","Butler","Butler","Seton Hall","5-7","5","7","false","","4565764","http://stats.ncaa.org/game/index/4565764?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/24/2018","Other","Ind.-Kokomo","","","false","Ind.-Kokomo","Ind.-Kokomo","Butler","9-7","9","7","true","10","4575109","http://stats.ncaa.org/game/index/4575109?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/25/2018","MAC","Miami (OH)","414","http://stats.ncaa.org/team/414/12973","false","Butler","Butler","Butler","4-3","4","3","true","11","4568936","http://stats.ncaa.org/game/index/4568936?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/28/2018","MVC","Illinois St.","299","http://stats.ncaa.org/team/299/12973","false","Butler","Butler","Butler","10-9","10","9","false","","4572013","http://stats.ncaa.org/game/index/4572013?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","04/29/2018","MVC","Illinois St.","299","http://stats.ncaa.org/team/299/12973","false","Illinois St.","Illinois St.","Illinois St.","1-2","1","2","false","","4573157","http://stats.ncaa.org/game/index/4573157?org_id=299"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/01/2018","MVC","Indiana St.","305","http://stats.ncaa.org/team/305/12973","false","Butler","Butler","Indiana St.","4-11","4","11","false","","4574854","http://stats.ncaa.org/game/index/4574854?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/04/2018","Big East","Xavier","812","http://stats.ncaa.org/team/812/12973","false","Butler","Butler","Xavier","6-9","6","9","false","","4576242","http://stats.ncaa.org/game/index/4576242?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/05/2018","Big East","Xavier","812","http://stats.ncaa.org/team/812/12973","false","Butler","Butler","Butler","8-4","8","4","false","","4577089","http://stats.ncaa.org/game/index/4577089?org_id=87"
