Game ID,Team,Player ID,Player,Lineup Position,G,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,RBI2out
4505587,James Madison,1870455,"Semones, Fox",2B,0,2,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
4505587,James Madison,1643276,"Sisk, Adam",RF,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4505587,James Madison,1870413,"Griffin, Davonn",PRLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505587,James Madison,1870454,"Brown, Harry",LF,0,1,2,1,0,0,4,1,2,1,0,0,1,1,0,0,0,0,0
4505587,James Madison,1997554,"Hartigan, Conor",DH,0,0,3,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
4505587,James Madison,1772214,"Dofflemyer, Tanner",PH1B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505587,James Madison,1997572,"Morgan, Michael",1B,0,1,2,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0
4505587,James Madison,1643277,"Sciorra, Michael",CF,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4505587,James Madison,1997556,"Jones, Josh",SS,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4505587,James Madison,1643272,"McKay, Bradley",3B,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4505587,James Madison,1870450,"Hayes, Kyle",C,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4505587,James Madison,1997560,"Stewart, Nick",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505587,James Madison,1758478,"Perkins, Shelton",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505587,James Madison,1870465,"Colon, Matt",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505587,James Madison,1997567,"Ayer, Brett",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505587,James Madison,1870459,"Robertson, Nick",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505587,James Madison,1772212,"Bourne, Christian",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505587,James Madison,,Totals,0,0,4,27,4,0,0,10,2,4,4,1,1,1,7,2,0,0,1,0
4505587,High Point,1649018,"Zente, Austen",CF,0,1,4,3,1,0,7,1,2,0,0,0,0,1,0,0,0,1,0
4505587,High Point,1759786,"Dunbar, Conner",SS,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4505587,High Point,1976693,"Holt, Travis",1B,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4505587,High Point,1976701,"Millwee, Daniel",PH,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4505587,High Point,1976695,"Wells, Tanner",LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505587,High Point,1871428,"Johnson, Joe",LF,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4505587,High Point,1649014,"Jackson, Carson",RF,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
4505587,High Point,1649015,"Lee, Hunter",2B,0,1,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0
4505587,High Point,1871442,"Schunk, Blake",3B,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4505587,High Point,1871443,"Sergent, Jordan",PDH,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4505587,High Point,1976698,"Winger, Jacob",PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505587,High Point,1649008,"Brown, Spencer",C,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4505587,High Point,1976703,"Smith, Harrison",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505587,High Point,1759791,"Jeffers, Cooper",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505587,High Point,1871433,"Murrah, Rion",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505587,High Point,1759795,"Woodard, JJ",C,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4505587,High Point,,Totals,0,0,3,31,4,2,0,9,1,3,4,0,1,0,10,0,0,0,3,0
