Game ID,Team,Player ID,Player,Lineup Position,G,PO,TC,A,E,CI,PB,SBA,CSB,IDP,TP
4501278,James Madison,1643277,"Sciorra, Michael",CF,1,4,4,0,0,0,0,0,0,0,0
4501278,James Madison,1870451,"Coale, Ryan",PH,1,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1643272,"McKay, Bradley",3B,1,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1997570,"Johnson, Hunter",3B,1,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1997556,"Jones, Josh",SS,1,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1997557,"Jones, Grayson",P,1,0,0,0,0,0,0,1,0,0,0
4501278,James Madison,1997574,"Richards, Garrett",P,1,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1997559,"Showalter, Justin",P,1,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1643274,"McCoy, Tucker",P,1,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1870460,"Kelly, Kevin",P,1,0,0,0,0,0,0,1,0,0,0
4501278,James Madison,,Totals,0,1,24,30,5,1,0,0,2,0,0,0
4501278,Liberty,1752971,"Artis, D.J.",CF,1,1,1,0,0,0,0,0,0,0,0
4501278,Liberty,1877756,"McDyre, Trey",3B2B,1,2,3,1,0,0,0,0,0,0,0
4501278,Liberty,1877776,"Embry, Jonathan",C,1,13,15,2,0,0,0,1,0,2,0
4501278,Liberty,1529674,"Allen, Dylan",1B,1,8,8,0,0,0,0,0,0,0,0
4501278,Liberty,1995271,"Todd, Tre",LF,1,2,3,1,0,0,0,0,0,0,0
4501278,Liberty,1887209,"Reese, E.P.",PH,1,0,0,0,0,0,0,0,0,0,0
4501278,Liberty,1529693,"Yacyk, Andrew",DH,1,0,0,0,0,0,0,0,0,0,0
4501278,Liberty,1995270,"Rohrer, Brandon",RF,1,0,0,0,0,0,0,0,0,0,0
4501278,Liberty,1877772,"Locklear, Cam",SS,1,0,3,3,0,0,0,0,0,0,0
4501278,Liberty,1877773,"Highfill, Ben",3B,1,0,1,1,0,0,0,0,0,0,0
4501278,Liberty,1995289,"Wagner, Will",2B,1,1,2,1,0,0,0,0,0,0,0
4501278,Liberty,1995287,"Brockman, Zach",P,1,0,1,1,0,0,0,0,0,0,0
4501278,Liberty,1877757,"Clinton, Zach",P,1,0,0,0,0,0,0,0,0,0,0
4501278,Liberty,1877775,"Tarantola, Vinnie",P,1,0,0,0,0,0,0,0,0,0,0
4501278,Liberty,1995274,"Good, Ben",P,1,0,0,0,0,0,0,0,0,0,0
4501278,Liberty,1995278,"Stamper, Brady",P,1,0,0,0,0,0,0,1,0,0,0
4501278,Liberty,,Totals,0,1,27,37,10,0,0,0,1,0,2,0
4545416,Albany (NY),1771122,"Lagravinese, Patrick",LF,1,0,0,0,0,0,0,0,0,0,0
4545416,Albany (NY),1640186,"Hayden, Kenny",PR,1,0,0,0,0,0,0,0,0,0,0
4545416,Albany (NY),1977546,"Malm, Brad",3B,1,1,1,0,0,0,0,0,0,0,0
4545416,Albany (NY),1878158,"Thul, Alex",3B,1,1,3,2,0,0,0,0,0,0,0
4545416,Albany (NY),1771125,"Powers, Connor",CF,1,3,3,0,0,0,0,0,0,0,0
4545416,Albany (NY),1878153,"Kondo, Nick",PR2B,1,1,3,2,0,0,0,0,0,1,0
4545416,Albany (NY),1771119,"Donati, Kevin",2B,1,0,1,1,0,0,0,0,0,1,0
4545416,Albany (NY),1878151,"Collins, Travis",SS,1,4,11,6,1,0,0,0,0,2,0
4545416,Albany (NY),1878159,"Wangenstein, Marc",RF,1,2,2,0,0,0,0,0,0,0,0
4545416,Albany (NY),1977534,"Turco, Chris",DH,1,0,0,0,0,0,0,0,0,0,0
4545416,Albany (NY),1771117,"Codispoti, Matt",C,1,9,10,1,0,0,1,1,1,0,0
4545416,Albany (NY),1977529,"Hernandez, Ryan",1B,1,11,14,2,1,0,0,0,0,2,0
4545416,Albany (NY),1529850,"Genovese, J.T.",P,1,1,1,0,0,0,0,0,0,0,0
4545416,Albany (NY),1878157,"Smith, Brendan",P,1,0,0,0,0,0,0,0,0,0,0
4545416,Albany (NY),1771130,"Torres, Hunter",P,1,0,0,0,0,0,0,0,0,0,0
4545416,Albany (NY),1771127,"Savino, Dominic",P,1,0,2,2,0,0,0,1,1,0,0
4545416,Albany (NY),,Totals,0,1,33,51,16,2,0,1,1,1,2,0
4545416,James Madison,1870455,"Semones, Fox",2BLF,1,2,5,1,2,0,0,0,0,1,0
4545416,James Madison,1997572,"Morgan, Michael",1B,1,8,10,2,0,0,0,0,0,0,0
4545416,James Madison,1643276,"Sisk, Adam",RF,1,1,1,0,0,0,0,0,0,0,0
4545416,James Madison,1772230,"Tondi, Zach",C,1,14,14,0,0,0,0,3,0,0,0
4545416,James Madison,1997554,"Hartigan, Conor",DH,1,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1870413,"Griffin, Davonn",PRLF,1,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1870415,"Dipasupil, Matt",PH2B,1,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1870454,"Brown, Harry",LF,1,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1643277,"Sciorra, Michael",CF,1,4,4,0,0,0,0,0,0,0,0
4545416,James Madison,1643272,"McKay, Bradley",3B,1,0,5,4,1,0,0,0,0,0,0
4545416,James Madison,1870451,"Coale, Ryan",PH,1,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1772214,"Dofflemyer, Tanner",SS,1,1,1,0,0,0,0,0,0,0,0
4545416,James Madison,1997556,"Jones, Josh",SS,1,2,4,2,0,0,0,0,0,1,0
4545416,James Madison,1758478,"Perkins, Shelton",P,1,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1997567,"Ayer, Brett",P,1,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1870465,"Colon, Matt",P,1,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1772229,"Marsili, Matt",P,1,0,0,0,0,0,0,1,0,0,0
4545416,James Madison,1870459,"Robertson, Nick",P,1,0,0,0,0,0,0,2,0,0,0
4545416,James Madison,1643273,"Harlow, Colton",P,1,1,2,1,0,0,0,0,1,0,0
4545416,James Madison,,Totals,0,1,33,46,10,3,0,0,3,1,1,0
4505473,Albany (NY),1771122,"Lagravinese, Patrick",LF,1,1,1,0,0,0,0,0,0,0,0
4505473,Albany (NY),1977546,"Malm, Brad",3B2B,1,0,4,4,0,0,0,0,0,0,0
4505473,Albany (NY),1771125,"Powers, Connor",CF,1,1,1,0,0,0,0,0,0,0,0
4505473,Albany (NY),1878159,"Wangenstein, Marc",RF,1,0,0,0,0,0,0,0,0,0,0
4505473,Albany (NY),1878151,"Collins, Travis",SS,1,2,4,2,0,0,0,0,0,0,0
4505473,Albany (NY),1771117,"Codispoti, Matt",C,1,10,13,3,0,0,1,2,2,0,0
4505473,Albany (NY),1977534,"Turco, Chris",DH,1,0,0,0,0,0,0,0,0,0,0
4505473,Albany (NY),1977529,"Hernandez, Ryan",1B,1,10,10,0,0,0,0,0,0,0,0
4505473,Albany (NY),1878158,"Thul, Alex",PH3B,1,0,1,1,0,0,0,0,0,0,0
4505473,Albany (NY),1878153,"Kondo, Nick",2B,1,0,1,1,0,0,0,0,0,0,0
4505473,Albany (NY),1977536,"Yankowski, Dan",P,1,0,0,0,0,0,0,0,1,0,0
4505473,Albany (NY),1977552,"Takacs, Connor",P,1,0,0,0,0,0,0,1,1,0,0
4505473,Albany (NY),1771128,"Spedafino, Angelo",P,1,0,1,1,0,0,0,1,0,0,0
