"Game ID","Team","Player ID","Player","Lineup Position","Games","App","GS","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","HR-A","WP","Bk","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","OrdAppeared","KL","P","C","1B","2B","3B","SS","LF","CF","RF","DH","PH","PR"
"0","Tennessee","1105514","Blount, Nick","16:1, 17:1, 18:1, 9:1, 11:3, 12:1, 13:3, 15:6","17","17.0","4.0","35.1","45.0","21.0","19.0","6.0","21.0","0.0","155.0","144.0","7.0","1.0","2.0","3.0","1.0","2.0","1.0","2.0","2.0","2.0","1.0","567.0","47.0","33.0","1.0","1.0","9.0","57.0","9.0","17","0","0","0","0","0","0","0","0","0","0","0"
"0","Tennessee","993141","Allman, Josh","17:1, 4:1, 12:1, 13:1","4","4.0","1.0","3.1","4.0","3.0","3.0","3.0","1.0","0.0","16.0","11.0","2.0","0.0","1.0","0.0","0.0","1.0","0.0","2.0","0.0","1.0","0.0","69.0","4.0","3.0","0.0","0.0","0.0","11.0","0.0","4","0","0","0","0","0","0","0","0","0","0","0"
"0","Tennessee","1105518","Fritts, Chris","5:14, 6:8, 7:2, 8:8, 9:1, 10:2","35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","1","33","0","0","1","0"
"0","Maine","1314740","Pupo, Manny","9:1","1","1.0","0.0","0.2","0.0","0.0","0.0","0.0","1.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","2.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","4.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Maine","1314741","Heath, Scott","4:6, 5:4, 6:5, 7:1","16","2.0","0.0","1.2","2.0","4.0","3.0","3.0","1.0","0.0","11.0","8.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","5.0","0.0","2","0","4","0","0","0","0","0","11","1","0","0"
"0","Maine","997162","Leisenheimer, Justin","6:2, 7:3, 8:4, 9:3, 10:3, 11:1, 12:1","17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","17","0","0","0","0","0","0","0","0","0"
"0","Maine","1314737","Morrill, Luke","12:2, 13:1","3","3.0","1.0","1.2","2.0","0.0","0.0","1.0","1.0","0.0","7.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","5.0","1.0","3","0","0","0","0","0","0","0","0","0","0","0"
"0","Maine","1213396","Silvia, Kyle","5:1, 8:1, 10:1","3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","2","1","0"
"0","Maine","997161","Leisenheimer, Ian","3:3, 4:3, 5:3, 6:2, 8:2, 9:1, 13:1","15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","14","0","0","0","1","0"
"0","Maine","1314739","Doran, Brian","4:1, 7:2, 8:2, 9:2, 10:2, 11:2","11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","1","0","9","0","1","1"
"0","Maine","1213371","Calbick, Alex","3:1, 4:2, 5:5, 6:2, 7:5, 8:4","19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","0","19","0","0","0","0","0","0","0"
"0","Maine","1314744","Balentina, Jonathan","17:1, 5:1, 11:3, 12:1, 13:1","7","7.0","1.0","13.2","8.0","3.0","3.0","5.0","9.0","0.0","52.0","46.0","3.0","1.0","0.0","1.0","0.0","1.0","0.0","4.0","3.0","0.0","0.0","0.0","23.0","4.0","2.0","2.0","0.0","18.0","2.0","7","0","0","0","0","0","0","0","0","0","0","0"
"0","Maine","1213374","Trask, Steve","6:1, 10:1, 11:1, 14:1","4","4.0","0.0","2.2","3.0","1.0","0.0","1.0","0.0","0.0","12.0","9.0","1.0","0.0","0.0","1.0","0.0","2.0","0.0","5.0","1.0","0.0","0.0","0.0","1.0","4.0","0.0","1.0","0.0","18.0","0.0","4","0","0","0","0","0","0","0","0","0","0","0"
"0","Maine","1213375","Bernardo, Nick","2:1, 3:1, 5:2, 8:1, 9:1, 10:1","7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","3","0","0","0","5","1"
"0","Maine","1314745","Balzano, Sam","2:2, 3:3, 4:2, 7:1, 8:3, 9:1, 10:2, 14:1","15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","13","2","2","0","0","1"
"0","Maine","1101118","Fransoso, Michael","1:14, 2:1, 3:5","20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","20","0","0","0","0","0","0"
"0","Maine","1213373","Gay, Colin","1:3, 2:14, 3:1, 4:2","20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","19","0","0","0","1"
"0","Maine","1101119","Gibbs, Jeffrey","10:1, 13:2, 14:2","5","5.0","4.0","22.2","13.0","11.0","9.0","16.0","22.0","0.0","99.0","77.0","4.0","1.0","0.0","3.0","0.0","3.0","0.0","2.0","0.0","2.0","1.0","0.0","28.0","14.0","1.0","1.0","0.0","6.0","4.0","5","0","0","0","0","0","0","0","0","0","0","0"
