"Year","Year ID","Division","Conference","Team Name","Team ID","Team URL"
"2012","10942","1","","A&M-Corpus Christi","26172","http://stats.ncaa.org/team/26172/10942"
"2012","10942","1","","Air Force","721","http://stats.ncaa.org/team/721/10942"
"2012","10942","1","","Akron","5","http://stats.ncaa.org/team/5/10942"
"2012","10942","1","","Alabama","8","http://stats.ncaa.org/team/8/10942"
"2012","10942","1","","Alabama A&M","6","http://stats.ncaa.org/team/6/10942"
"2012","10942","1","","Alabama St.","7","http://stats.ncaa.org/team/7/10942"
"2012","10942","1","","Albany (NY)","14","http://stats.ncaa.org/team/14/10942"
"2012","10942","1","","Alcorn","17","http://stats.ncaa.org/team/17/10942"
"2012","10942","1","","Appalachian St.","27","http://stats.ncaa.org/team/27/10942"
"2012","10942","1","","Arizona","29","http://stats.ncaa.org/team/29/10942"
"2012","10942","1","","Arizona St.","28","http://stats.ncaa.org/team/28/10942"
"2012","10942","1","","Ark.-Pine Bluff","2678","http://stats.ncaa.org/team/2678/10942"
"2012","10942","1","","Arkansas","31","http://stats.ncaa.org/team/31/10942"
"2012","10942","1","","Arkansas St.","30","http://stats.ncaa.org/team/30/10942"
"2012","10942","1","","Army West Point","725","http://stats.ncaa.org/team/725/10942"
"2012","10942","1","","Auburn","37","http://stats.ncaa.org/team/37/10942"
"2012","10942","1","","Austin Peay","43","http://stats.ncaa.org/team/43/10942"
"2012","10942","1","","BYU","77","http://stats.ncaa.org/team/77/10942"
"2012","10942","1","","Ball St.","47","http://stats.ncaa.org/team/47/10942"
"2012","10942","1","","Baylor","51","http://stats.ncaa.org/team/51/10942"
"2012","10942","1","","Belmont","14927","http://stats.ncaa.org/team/14927/10942"
"2012","10942","1","","Bethune-Cookman","61","http://stats.ncaa.org/team/61/10942"
"2012","10942","1","","Binghamton","62","http://stats.ncaa.org/team/62/10942"
"2012","10942","1","","Boston College","67","http://stats.ncaa.org/team/67/10942"
"2012","10942","1","","Bowling Green","71","http://stats.ncaa.org/team/71/10942"
"2012","10942","1","","Bradley","72","http://stats.ncaa.org/team/72/10942"
"2012","10942","1","","Brown","80","http://stats.ncaa.org/team/80/10942"
"2012","10942","1","","Bryant","81","http://stats.ncaa.org/team/81/10942"
